loan_id,income_type,complexity_level,pay_frequency,ai_avg_income,ai_median_income,ai_min_income,ai_max_income,ai_variance_pct,ai_consistency_rating,form_1003_initial_income,form_1003_final_income,form_1003_num_versions,form_1003_net_change,ai_avg_vs_final_1003_diff,ai_avg_vs_final_1003_pct,ai_median_vs_final_1003_diff,ai_median_vs_final_1003_pct,best_ai_metric,base_salary_component,variable_income_component,has_bonus,has_commission,has_overtime,notes
1000175957,base_plus_variable,moderate,weekly,18035.98,18581.6,15260.0,20369.62,28.33,LOW,18619.33,18599.14,3,-20.19,-563.17,-3.03,-17.55,-0.09,median,9232.34,8803.63,True,True,False,"AI results vary substantially (variance 28.33%) driven by differing treatments of variable income (YTD-only, 2-year average, or 3-period averaging). The median AI result (18581.60) is much closer to the final Form 1003 (18599.14) than the mean, indicating most runs clustered near the 1003 while a few high/low outliers pulled the average away."
1000176265,hourly_fluctuating,moderate,monthly,8118.39,8159.19,7955.18,8159.19,2.51,MEDIUM,6250.0,7900.17,3,1650.17,218.22,2.76,259.02,3.28,mean,6201.37,2204.14,False,False,True,"AI runs cluster into two calculation outcomes (monthly = 7,955.18 vs 8,159.19) driven by alternative interpretations of averaging (months-weighted vs simple annual/YTD averaging). The AI mean is moderately consistent with the final Form 1003 primary income (≈2.8% higher), with a medium variance reflecting those two methodologies and minor OCR/paystub extraction inconsistencies."
1000176563,hourly_fluctuating,simple,weekly,2830.64,2845.69,250.15,3608.39,118.64,LOW,3815.0,3222.58,2,-592.42,-391.94,-12.16,-376.89,-11.69,median,1038.74,0.0,False,False,False,AI runs produced widely divergent totals driven by different treatment of fluctuating hourly pay (YTD-only vs. averaging prior years vs. annualizing current weekly pay) and inconsistent inclusion of documented Social Security; the median (2845.69) is slightly closer to the final Form 1003 than the mean. High variance and decision-path sensitivity indicate low consistency and a need for underwriting verification (VOE/payroll history) to resolve discrepancies.
1000176779,base_only,simple,monthly,2706.01,2714.17,2673.39,2714.17,1.51,MEDIUM,3377.25,3365.0,3,-12.25,-658.99,-19.58,-650.83,-19.34,median,0.0,0.0,False,False,False,"AI runs are consistent (median driven by 8 runs using the SSA COLA notice = $2,714.17; two runs used the SSA-1099 annual /12 = $2,673.39). AI results are ~19.6% lower than the Form 1003 final combined income (3365.00), so an underwriter reconciliation is recommended to determine why the Form 1003 reports materially higher retirement income."
1000176806,base_only,complex,bi-weekly,11664.99,11666.66,11650.0,11666.67,0.14,HIGH,11666.67,11666.66,3,-0.01,-1.67,-0.01,0.0,0.0,median,11664.99,0.0,False,False,False,"AI runs are highly consistent (variance 0.14%), with the median matching the final Form 1003 monthly income exactly. The small average deviation (‑$1.67) is driven by one run that returned $11,650; otherwise calculations consistently annualized the bi-weekly paystub to ~$11,666.66/month. File-level risk noted: current base is materially lower than prior W-2 years but properly treated as qualifying per documentation."
1000177034,hourly_fluctuating,moderate,weekly,3211.44,2990.54,1001.34,5678.4,145.64,LOW,4600.0,4070.46,3,-529.54,-859.02,-21.1,-1079.92,-26.54,mean,3029.34,182.1,False,False,True,AI runs show high dispersion driven by differing treatments (YTD-only annualization vs. averaging W-2s+YTD vs. base-only YTD) and inconsistent inclusion of variable pay; the mean (3211.44) is closer to the final Form 1003 (4070.46) but still underestimates by ~21%. Recommend standardizing the decision-node application (or obtaining VOE/additional paystubs) to reduce variability and resolve whether variable components should be included.
1000177101,base_only,simple,bi-weekly,8403.22,8403.22,8403.22,8403.22,0.0,HIGH,8583.33,8380.0,3,-203.33,23.22,0.28,23.22,0.28,median,8398.58,4.65,False,False,False,"AI runs are perfectly consistent (zero variance) and the average monthly qualifying income ($8,403.22) is very close to the final Form 1003 amount ($8,380.00), differing by $23.22 (≈0.28%), which corresponds to a small Group Term Life component observed in some runs. Overall accuracy is high and patterns show use of current biweekly paystub annualization with consistent exclusion of variable pay."
1000177183,hourly_fluctuating,moderate,bi-weekly,4827.23,4794.63,4794.63,5021.98,4.71,MEDIUM,5133.33,4977.99,2,-155.34,-150.76,-3.03,-183.36,-3.68,mean,4008.63,818.61,True,False,True,"The 10 AI runs largely converged at $4,794.63 (8 of 10 runs); the mean is slightly higher ($4,827.23) driven by two higher estimates (including one outlier at $5,021.98). Overall the AI mean is within ~3.0% of the final Form 1003 ($4,977.99) and consistency is rated MEDIUM due to that spread."
1000177229,base_plus_variable,complex,bi-weekly,12616.15,12371.64,12371.64,13605.0,9.78,LOW,13807.34,14207.57,3,400.23,-1591.42,-11.2,-1835.93,-12.92,mean,12645.91,489.24,False,False,True,"The AI runs show wide dispersion (variance ~9.78%) driven by two higher outlier runs that annualized YTD or included different component splits; overall the AI average (~$12,616.15) understates the final Form 1003 combined income ($14,207.57) by about 11%, with the mean closer to the 1003 than the median. Pattern: most runs clustered at $12,371.64 with a few runs applying YTD annualization or different overtime treatment producing the higher results."
1000177311,base_only,complex,monthly,9166.67,9166.67,9166.67,9166.67,0.0,HIGH,10832.67,9166.67,2,-1666.0,0.0,0.0,0.0,0.0,median,9166.67,0.0,False,False,False,"All 10 AI runs produced an identical monthly qualifying income of $9,166.67, matching the final Form 1003. The initial Form 1003 reported $10,832.67 (a $1,666.00 IQVIA amount removed in the final version); AI correctly used Best Day paystubs/VOE and excluded other employer amounts, yielding high consistency and accuracy."
